"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ac09a700281e0e84b375bb5ae517a23e","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Geobacillus",NA
"896c05c0ef629cc4725eb1d8db95f2e5","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus",NA
"4921e77373cf88d5d939898928db7f1d","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Staphylococcaceae","g__Staphylococcus",NA
"af2a8d6190dac41427b5208bd79874e0","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus",NA
"04b867faf28bb8e9696ddab9bc9774a1","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus",NA
"3112a0cc9050d0bee3e65ae6ac080099","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus",NA
"6ba2d1f0e3b971b2afeb348b44f26b2d","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__[Tissierellaceae]","g__Anaerococcus",NA
"2424b82f393cce6b25e2f0fef86314f2","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas",NA
"f508a05c1f9bbdaefd0ec0ff6f5db60b","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia",NA
"92eb684563a59988b1e9cc61e7c6eaa1","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter",NA
"157f6ba228fbb1d6d88977bcc75d3c63","k__Bacteria","p__[Thermi]","c__Deinococci","o__Deinococcales","f__Deinococcaceae","g__Deinococcus",NA
"4c6043796448a2d50aaf470a409f36f7","k__Bacteria","p__[Thermi]","c__Deinococci","o__Thermales","f__Thermaceae","g__Thermus",NA
"04f7a79aa778df478752a5e08bb5e68d","k__Bacteria","p__[Thermi]","c__Deinococci","o__Thermales","f__Thermaceae","g__Meiothermus",NA
"ba2bf0826df666849c91fc7512a57e78","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Corynebacteriaceae","g__Corynebacterium",NA
"d1589540ef4c33b985e1103a5e0921f9","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas",NA
"178902d35f055b7cc539fe7326a49c89","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Brevundimonas",NA
"8f1d6c5f6a03b21a67f492d2004679fa","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Methylobacteriaceae","g__Methylobacterium",NA
