"","T1R10","T1R7","T1R9","T2R10","T2R7","T2R9","T3R10","T3R7","T3R9","T4R10","T4R7","T4R9","T5R10","T5R7","T5R9"
"ac09a700281e0e84b375bb5ae517a23e",10598.0803157499,7788.10576923077,7727.58504098361,0,0,0,0,0,0,0,0,0,0,0,0
"896c05c0ef629cc4725eb1d8db95f2e5",0,0,4090.12346311475,204769.8667,63732.76471,360168.804331246,412012.443464314,420760,186279.188560859,200576.636876434,331858.562794595,243266.6016,140007.414025817,698137.938692308,201325.446320137
"473b630262c9e46dc6f8f08886406faf",0,0,0,0,0,8571.2828616955,0,0,12545.3331071599,0,0,0,11447.1470587146,0,0
"4921e77373cf88d5d939898928db7f1d",76775.8659237564,0,7242.59016393443,0,0,0,0,0,0,0,0,0,0,0,0
"af2a8d6190dac41427b5208bd79874e0",0,4741.51893939394,0,0,0,0,0,0,0,0,0,0,0,0,0
"04b867faf28bb8e9696ddab9bc9774a1",0,0,6935.42674180328,0,0,0,0,0,0,0,0,0,0,0,0
"3112a0cc9050d0bee3e65ae6ac080099",0,1652.02243589744,0,0,0,0,0,0,0,0,0,0,0,0,0
"2424b82f393cce6b25e2f0fef86314f2",150781.779037715,27076.0040792541,33820.3094262295,0,0,28687.5589656747,0,0,56644.0797868735,0,0,0,0,0,65908.7773986592
"f508a05c1f9bbdaefd0ec0ff6f5db60b",2228.0055209247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92eb684563a59988b1e9cc61e7c6eaa1",0,33791.368006993,27887.2054303279,0,0,0,0,0,0,0,0,0,0,0,0
"157f6ba228fbb1d6d88977bcc75d3c63",19389.6696685879,16005.3082750583,0,0,0,0,0,0,0,0,0,0,0,0,0
"4c6043796448a2d50aaf470a409f36f7",47992.4432480266,3668.7770979021,0,0,0,0,0,0,0,0,0,0,0,0,0
"04f7a79aa778df478752a5e08bb5e68d",0,6329.17686480187,0,0,0,0,0,0,0,0,0,0,0,0,0
"7e2c443c0ab5d9675d2e14bf13cdbab5",0,0,0,0,0,0,0,0,0,0,226267.201905405,363233.6928,0,0,552688.962691146
"ba2bf0826df666849c91fc7512a57e78",70513.3639189951,16606.0437062937,7307.25614754098,0,0,699.696560138408,0,0,0,0,0,0,0,0,0
"0c00cc21bf4cb3fbc403e974cad42402",0,0,0,0,0,39707.7797878547,207714.39935846,0,128114.462336754,234783.505180943,0,326577.0816,429708.289588671,0,47913.2067778649
"d1589540ef4c33b985e1103a5e0921f9",14150.8458761433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178902d35f055b7cc539fe7326a49c89",0,4805.88344988345,5237.94467213115,0,0,0,0,0,0,0,0,0,0,0,0
"8f1d6c5f6a03b21a67f492d2004679fa",56242.085311991,1351.65472027972,0,0,0,67695.642193391,232312.157177225,0,94280.0791083532,323410.391242623,0,177729.024,227181.841626797,310283.528307692,21369.7401121933
