"","T1R1","T1R4","T1R5","T2R1","T2R4","T2R5","T3R1","T3R5","T4R1","T5R1","T5R4","T5R5"
"ac09a700281e0e84b375bb5ae517a23e",19013.0267690484,3422.47094373393,1015.43303234105,0,0,0,41111.758331875,0,0,0,0,0
"896c05c0ef629cc4725eb1d8db95f2e5",0,0,0,0,0,0,0,0,33377.5961538462,0,0,0
"4921e77373cf88d5d939898928db7f1d",3952.95270009535,432.893183884852,1338.81934837323,0,0,6860.95031932692,0,13819.07843,0,0,22609.6503995362,17734.5123966942
"af2a8d6190dac41427b5208bd79874e0",0,0,0,0,0,0,0,0,0,128265.012691111,73224.4359530435,16169.7024793388
"04b867faf28bb8e9696ddab9bc9774a1",0,1339.35407899944,174.628610657378,0,0,0,0,0,0,0,0,0
"3112a0cc9050d0bee3e65ae6ac080099",0,1104.02288507546,704.982168950157,0,0,0,0,0,0,0,0,0
"6ba2d1f0e3b971b2afeb348b44f26b2d",0,682.750994717719,0,0,0,0,0,0,0,0,5395.48475443478,2347.21487603306
"2424b82f393cce6b25e2f0fef86314f2",16977.4250581018,3678.13940133035,1319.4161694113,8462.81687148148,0,3152.32852509615,23492.4333325,0,0,262106.765064444,35712.9705174493,10692.867768595
"f508a05c1f9bbdaefd0ec0ff6f5db60b",1917.35098914881,0,549.75673725471,0,0,0,0,0,0,0,0,0
"92eb684563a59988b1e9cc61e7c6eaa1",39352.1509182569,2173.18188956959,25942.0502721016,11406.4053485185,23542.5238095238,5933.79487076923,18793.946666,0,0,44613.9174577778,23508.8978586087,81109.3140495868
"157f6ba228fbb1d6d88977bcc75d3c63",0,1353.88069590833,0,0,0,556.293269134615,0,0,0,0,0,0
"4c6043796448a2d50aaf470a409f36f7",12112.2525041383,2495.6727849469,659.708084705652,0,0,0,0,0,0,66920.8761866667,0,0
"04f7a79aa778df478752a5e08bb5e68d",0,0,459.208568765699,0,0,0,0,0,6068.65384615385,0,0,0
"ba2bf0826df666849c91fc7512a57e78",0,2640.93895403577,129.354526412873,0,0,0,0,27638.15686,0,0,38924.5685855652,45379.4876033058
"d1589540ef4c33b985e1103a5e0921f9",0,1054.63238758524,0,0,7357.03869047619,2781.46634567308,0,0,0,0,0,6259.23966942149
"178902d35f055b7cc539fe7326a49c89",9789.47046882589,0,0,0,0,0,0,0,0,0,0,0
"8f1d6c5f6a03b21a67f492d2004679fa",8792.78581367364,0,213.43496858124,0,0,0,0,0,0,0,0,0
