"","T1R10","T1R7","T1R9","T2R10","T2R7","T2R9","T3R10","T3R7","T3R9","T4R10","T4R7","T4R9","T5R10","T5R7","T5R9"
"ac09a700281e0e84b375bb5ae517a23e",2.20523743891743,5.28846153846154,6.99648711943794,0,0,0,0,0,0,0,0,0,0,0,0
"896c05c0ef629cc4725eb1d8db95f2e5",0,0,3.70316159250585,100,100,71.2456747404844,48.3560545308741,100,38.9817024661893,26.4344262295082,59.4594594594595,21.9,17.3202614379085,69.2307692307692,22.6410321274981
"473b630262c9e46dc6f8f08886406faf",0,0,0,0,0,1.69550173010381,0,0,2.62529832935561,0,0,0,1.4161220043573,0,0
"4921e77373cf88d5d939898928db7f1d",15.9754416739757,0,6.55737704918033,0,0,0,0,0,0,0,0,0,0,0,0
"af2a8d6190dac41427b5208bd79874e0",0,3.21969696969697,0,0,0,0,0,0,0,0,0,0,0,0,0
"04b867faf28bb8e9696ddab9bc9774a1",0,0,6.27927400468384,0,0,0,0,0,0,0,0,0,0,0,0
"3112a0cc9050d0bee3e65ae6ac080099",0,1.12179487179487,0,0,0,0,0,0,0,0,0,0,0,0,0
"2424b82f393cce6b25e2f0fef86314f2",31.3745144718707,18.3857808857809,30.6206088992974,0,0,5.67474048442907,0,0,11.8536197295147,0,0,0,0,0,7.41209208196307
"f508a05c1f9bbdaefd0ec0ff6f5db60b",0.463601052499687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92eb684563a59988b1e9cc61e7c6eaa1",0,22.9458041958042,25.2488290398126,0,0,0,0,0,0,0,0,0,0,0,0
"157f6ba228fbb1d6d88977bcc75d3c63",4.03458213256484,10.8682983682984,0,0,0,0,0,0,0,0,0,0,0,0,0
"4c6043796448a2d50aaf470a409f36f7",9.98621726600677,2.49125874125874,0,0,0,0,0,0,0,0,0,0,0,0,0
"04f7a79aa778df478752a5e08bb5e68d",0,4.29778554778555,0,0,0,0,0,0,0,0,0,0,0,0,0
"7e2c443c0ab5d9675d2e14bf13cdbab5",0,0,0,0,0,0,0,0,0,0,40.5405405405405,32.7,0,0,62.1553250695674
"ba2bf0826df666849c91fc7512a57e78",14.6723468237063,11.2762237762238,6.61592505854801,0,0,0.13840830449827,0,0,0,0,0,0,0,0,0
"0c00cc21bf4cb3fbc403e974cad42402",0,0,0,0,0,7.85467128027682,24.3785084202085,0,26.8098647573588,30.9426229508197,0,29.4,53.1590413943355,0,5.38831267391854
"d1589540ef4c33b985e1103a5e0921f9",2.94449317128179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178902d35f055b7cc539fe7326a49c89",0,3.26340326340326,4.7423887587822,0,0,0,0,0,0,0,0,0,0,0,0
"8f1d6c5f6a03b21a67f492d2004679fa",11.7027941360732,0.917832167832168,0,0,0,13.3910034602076,27.2654370489174,0,19.7295147175815,42.6229508196721,0,16,28.1045751633987,30.7692307692308,2.40323804705287
