,T1R1,T1R4,T2R1,T2R4,T2R5,T3R1,T3R5,T4R1,T5R1,T5R4,T5R5,Kingdom,Phylum,Class,Order,Family,Genus,Species
ac09a700281e0e84b375bb5ae517a23e,19013.02677,3422.470944,0,0,0,41111.75833,0,0,0,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Geobacillus,NA
896c05c0ef629cc4725eb1d8db95f2e5,0,0,0,0,0,0,0,33377.59615,0,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,NA
4921e77373cf88d5d939898928db7f1d,3952.9527,432.8931839,0,0,6860.950319,0,13819.07843,0,0,22609.6504,17734.5124,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,NA
af2a8d6190dac41427b5208bd79874e0,0,0,0,0,0,0,0,0,128265.0127,73224.43595,16169.70248,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,NA
04b867faf28bb8e9696ddab9bc9774a1,0,1339.354079,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,NA
3112a0cc9050d0bee3e65ae6ac080099,0,1104.022885,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,NA
6ba2d1f0e3b971b2afeb348b44f26b2d,0,682.7509947,0,0,0,0,0,0,0,5395.484754,2347.214876,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__Anaerococcus,NA
2424b82f393cce6b25e2f0fef86314f2,16977.42506,3678.139401,8462.816871,0,3152.328525,23492.43333,0,0,262106.7651,35712.97052,10692.86777,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,NA
f508a05c1f9bbdaefd0ec0ff6f5db60b,1917.350989,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Massilia,NA
92eb684563a59988b1e9cc61e7c6eaa1,39352.15092,2173.18189,11406.40535,23542.52381,5933.794871,18793.94667,0,0,44613.91746,23508.89786,81109.31405,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,NA
157f6ba228fbb1d6d88977bcc75d3c63,0,1353.880696,0,0,556.2932691,0,0,0,0,0,0,k__Bacteria,p__[Thermi],c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,NA
4c6043796448a2d50aaf470a409f36f7,12112.2525,2495.672785,0,0,0,0,0,0,66920.87619,0,0,k__Bacteria,p__[Thermi],c__Deinococci,o__Thermales,f__Thermaceae,g__Thermus,NA
04f7a79aa778df478752a5e08bb5e68d,0,0,0,0,0,0,0,6068.653846,0,0,0,k__Bacteria,p__[Thermi],c__Deinococci,o__Thermales,f__Thermaceae,g__Meiothermus,NA
ba2bf0826df666849c91fc7512a57e78,0,2640.938954,0,0,0,0,27638.15686,0,0,38924.56859,45379.4876,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,NA
d1589540ef4c33b985e1103a5e0921f9,0,1054.632388,0,7357.03869,2781.466346,0,0,0,0,0,6259.239669,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,NA
178902d35f055b7cc539fe7326a49c89,9789.470469,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,NA
8f1d6c5f6a03b21a67f492d2004679fa,8792.785814,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,NA
SH1726759.08FU_AF444541_refs,0,0,0,0,0,0.108659357,0.011666223,0,0,0,0,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula,NA
