,T1R7,T2R7,T2R9,T3R7,T3R9,T4R7,T4R9,T5R7,T5R9,Kingdom,Phylum,Class,Order,Family,Genus,Species
ac09a700281e0e84b375bb5ae517a23e,5.288461538,0,0,0,0,0,0,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Geobacillus,NA
896c05c0ef629cc4725eb1d8db95f2e5,0,100,71.24567474,100,38.98170247,59.45945946,21.9,69.23076923,22.64103213,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,NA
473b630262c9e46dc6f8f08886406faf,0,0,1.69550173,0,2.625298329,0,0,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,NA
af2a8d6190dac41427b5208bd79874e0,3.21969697,0,0,0,0,0,0,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,NA
3112a0cc9050d0bee3e65ae6ac080099,1.121794872,0,0,0,0,0,0,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,NA
2424b82f393cce6b25e2f0fef86314f2,18.38578089,0,5.674740484,0,11.85361973,0,0,0,7.412092082,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,NA
92eb684563a59988b1e9cc61e7c6eaa1,22.9458042,0,0,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,NA
157f6ba228fbb1d6d88977bcc75d3c63,10.86829837,0,0,0,0,0,0,0,0,k__Bacteria,p__[Thermi],c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,NA
4c6043796448a2d50aaf470a409f36f7,2.491258741,0,0,0,0,0,0,0,0,k__Bacteria,p__[Thermi],c__Deinococci,o__Thermales,f__Thermaceae,g__Thermus,NA
04f7a79aa778df478752a5e08bb5e68d,4.297785548,0,0,0,0,0,0,0,0,k__Bacteria,p__[Thermi],c__Deinococci,o__Thermales,f__Thermaceae,g__Meiothermus,NA
7e2c443c0ab5d9675d2e14bf13cdbab5,0,0,0,0,0,40.54054054,32.7,0,62.15532507,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Promicromonosporaceae,g__Promicromonospora,NA
ba2bf0826df666849c91fc7512a57e78,11.27622378,0,0.138408304,0,0,0,0,0,0,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,NA
0c00cc21bf4cb3fbc403e974cad42402,0,0,7.85467128,0,26.80986476,0,29.4,0,5.388312674,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,NA
178902d35f055b7cc539fe7326a49c89,3.263403263,0,0,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,NA
8f1d6c5f6a03b21a67f492d2004679fa,0.917832168,0,13.39100346,0,19.72951472,0,16,30.76923077,2.403238047,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,NA
SH1726759.08FU_AF444541_refs,100,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula,NA
SH1715510.08FU_KU204769_reps,0,1.066899869,6.339814032,0.100663464,0,0,0.571489046,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Trichosphaeriales,f__Trichosphaeriaceae,g__Nigrospora,NA
SH1676198.08FU_KF984792_refs,0,0,0.044489923,0,0.102232067,0,0.719652873,0,1.216275984,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Talaromyces,NA
SH1694434.08FU_EU037063_reps,0,0,7.145081639,0,0.834895212,0,0.052915652,0,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Thermoascaceae,g__Byssochlamys,NA
SH1692811.08FU_FJ430773_reps,0,26.33143857,46.95021578,8.021047815,20.97461237,7.482714888,2.37062123,6.512564119,4.555506413,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,NA
SH1695393.08FU_U65307_reps,0,66.8211631,7.474307069,28.91329215,7.616288976,18.80702041,0.730236004,12.71346016,0.707651482,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,NA
SH1685996.08FU_AJ292429_refs,0,0,0.240245584,0.02287806,9.115692622,0,47.42300773,0,32.44139761,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Cordycipitaceae,g__Lecanicillium,NA
SH1706045.08FU_GU054033_reps,0,0,0.026693954,0,1.00528199,0.114552224,0.963064875,0.259723395,0.420168067,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Sarocladium,NA
SH1744621.08FU_KC181928_reps,0,1.76650634,5.223116964,0.571951499,3.271426137,1.145522235,0.825484178,0.538926044,0.619195046,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,NA
SH1744611.08FU_EF679363_refs,0,1.635330127,7.558837923,0.416380691,5.622763674,0.507302704,2.38120436,0.448022856,2.03449801,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Mycosphaerella,NA
SH1670916.08FU_AY943061_refs,0,0,0.084530854,0,0.1533481,0,0.074081913,0,0.353825741,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,NA
SH1687332.08FU_KM277974_reps,0,0.139921294,0,0.279112331,0,0.143190279,0,0.019479255,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Paraphaeosphaeria,NA
