,T1R1,T1R4,T2R1,T2R4,T2R5,T3R1,T3R5,T4R1,T5R1,T5R4,T5R5,Kingdom,Phylum,Class,Order,Family,Genus,Species
ac09a700281e0e84b375bb5ae517a23e,14.30932554,13.16936836,0,0,0,43.75,0,0,0,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Geobacillus,NA
896c05c0ef629cc4725eb1d8db95f2e5,0,0,0,0,0,0,0,84.61538462,0,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,NA
4921e77373cf88d5d939898928db7f1d,2.975017481,1.665735048,0,0,35.57692308,0,33.33333333,0,0,10.20289855,9.366391185,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,NA
af2a8d6190dac41427b5208bd79874e0,0,0,0,0,0,0,0,0,25.55555556,33.04347826,8.539944904,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,NA
04b867faf28bb8e9696ddab9bc9774a1,0,5.15371716,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,NA
3112a0cc9050d0bee3e65ae6ac080099,0,4.248183343,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,NA
6ba2d1f0e3b971b2afeb348b44f26b2d,0,2.627166015,0,0,0,0,0,0,0,2.434782609,1.239669421,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__Anaerococcus,NA
2424b82f393cce6b25e2f0fef86314f2,12.77731867,14.15315819,42.59259259,0,16.34615385,25,0,0,52.22222222,16.11594203,5.64738292,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,NA
f508a05c1f9bbdaefd0ec0ff6f5db60b,1.443010616,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Massilia,NA
92eb684563a59988b1e9cc61e7c6eaa1,29.61668044,8.362213527,57.40740741,76.19047619,30.76923077,20,0,0,8.888888889,10.60869565,42.83746556,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,NA
157f6ba228fbb1d6d88977bcc75d3c63,0,5.20961431,0,0,2.884615385,0,0,0,0,0,0,k__Bacteria,p__[Thermi],c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,NA
4c6043796448a2d50aaf470a409f36f7,9.115758693,9.60313024,0,0,0,0,0,0,13.33333333,0,0,k__Bacteria,p__[Thermi],c__Deinococci,o__Thermales,f__Thermaceae,g__Thermus,NA
04f7a79aa778df478752a5e08bb5e68d,0,0,0,0,0,0,0,15.38461538,0,0,0,k__Bacteria,p__[Thermi],c__Deinococci,o__Thermales,f__Thermaceae,g__Meiothermus,NA
ba2bf0826df666849c91fc7512a57e78,0,10.16210173,0,0,0,0,66.66666667,0,0,17.56521739,23.96694215,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,NA
d1589540ef4c33b985e1103a5e0921f9,0,4.058133035,0,23.80952381,14.42307692,0,0,0,0,0,3.305785124,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,NA
178902d35f055b7cc539fe7326a49c89,7.367618079,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,NA
8f1d6c5f6a03b21a67f492d2004679fa,6.617506834,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,NA
