,control.gypsum.dry.tp0,control.gypsum.dry.tp1,control.gypsum.wet.tp0,control.gypsum.wet.tp1,control.gypsum.dry.tp2,control.gypsum.wet.tp3,loc1.plywood.wet.tp0,control.mdf.dry.tp1,control.plywood.dry.tp2,control.mdf.dry.tp3,control.mdf.dry.tp0,control.mdf.dry.tp2,loc1.gypsum.wet.tp2,control.plywood.dry.tp1,control.plywood.dry.tp3,control.plywood.dry.tp0,control.plywood.wet.tp3,loc1.gypsum.dry.tp0,loc1.gypsum.dry.tp1,loc1.gypsum.dry.tp3,loc1.gypsum.wet.tp0,loc1.gypsum.dry.tp2,loc1.gypsum.wet.tp3,loc1.mdf.dry.tp0,loc1.mdf.dry.tp1,loc1.plywood.dry.tp2,loc1.mdf.dry.tp3,loc1.mdf.wet.tp0,loc1.mdf.dry.tp2,loc2.plywood.wet.tp0,loc1.plywood.dry.tp1,loc1.plywood.dry.tp3,loc1.plywood.dry.tp0,loc1.plywood.wet.tp1,loc2.gypsum.wet.tp2,loc2.gypsum.dry.tp0,loc2.gypsum.dry.tp1,loc2.plywood.wet.tp2,loc2.gypsum.wet.tp0,loc2.gypsum.wet.tp1,loc2.gypsum.dry.tp2,loc2.gypsum.wet.tp3,control.mdf.wet.tp0,loc2.mdf.dry.tp1,loc2.plywood.dry.tp2,loc2.mdf.dry.tp3,loc2.mdf.dry.tp2,control.plywood.wet.tp0,loc2.plywood.dry.tp1,loc2.plywood.dry.tp3,loc2.plywood.dry.tp0,loc2.plywood.wet.tp1,control.gypsum.wet.tp2,loc2.plywood.wet.tp3
769222,9498.656999,9130.492,16199.26,0,990006.2041,11092.2855,21751.53883,14138.41258,0,121948.5202,26131.82575,115774.7438,699.5135,3644.8335,21052.02533,834.5073335,601.3361667,657.4375,5901.159,58485.64,4102.41,4470.575,0,11395.58333,2866.4275,145183.238,64436.76425,204331.575,7559.654668,636.3995,29221.782,7550.01225,2496.509333,2821.72175,0,1851.344,762.6275,5735.48475,108514.004,304.1744167,14973.7965,0,8136.446499,1475.28975,49711.04083,54443.71425,7963.759584,418932.3238,2344.860417,6143.096,841.5199999,0,0,0
1101451,0,0,0,0,0,0,11448.17833,0,0,0,0,0,0,0,2265.091333,506.6651668,0,289.2725,238.4306667,0,341.8675,2629.75,0,854.6687501,95.54758333,1444.609333,187.5888333,37947.2925,154.2786667,57.8545,252.456,1067.6785,234.04775,0,0,336.608,355.8928333,0,11303.54209,0,11646.28617,0,0,134.11725,1875.888333,0,346.2504167,19420.70375,281.38325,1262.28,175.3166667,0,0,0
556428,753.8616666,294.532,236.6775,0,22500.141,583.8045,0,890.6086664,0,7461.477334,1948.64475,2958.46875,349.75675,0,3131.155667,238.4306667,0,0,0,631.14,0,6311.4,0,0,286.64275,0,187.5888333,0,1697.065334,0,441.798,915.153,702.14325,0,0,0,0,0,2260.708417,0,1663.755167,0,0,0,3751.776666,0,0,19420.70375,0,84.152,175.3166667,0,0,0
590579,791.5547499,2145.876,815.2225,0,27500.17234,0,1144.817833,0,12401.901,0,0,2958.46875,0,0,0,0,0,157.785,0,0,1025.6025,6311.4,0,0,0,3972.675666,0,32109.2475,3394.130667,28.92725,63.114,0,0,291.90225,0,168.304,0,0,0,0,0,0,0,0,3282.804583,0,0,105426.6775,0,0,0,0,0,0
922761,0,336.608,52.595,0,82500.51701,0,21179.12992,0,8956.9285,0,0,0,699.5135,0,1065.925333,238.4306667,48708.2295,499.6525,178.823,0,1025.6025,2892.725,101741.5212,341.8675,573.2855,5056.132666,375.1776667,157627.215,1388.508,86.78175,252.456,1830.306,546.1114167,97.30075,36360.67666,112.2026667,457.5765,829733.4605,11303.54209,46538.68576,16637.55167,60242.313,29.80383333,89.4115,937.9441666,0,1731.252084,0,187.5888333,757.368,35.06333333,110907.0765,0,37460.78875
1084865,0,0,0,0,0,0,29192.85475,0,0,0,499.6525,0,0,0,0,0,0,1262.28,3338.029334,1157.09,1139.558333,4470.575,0,2507.028333,6401.688083,6500.741999,562.7665,84651.6525,1234.229334,57.8545,1325.394,533.83925,3666.748083,0,0,0,0,0,20346.37575,0,6655.020668,0,119.2153333,0,0,176.19325,0,0,562.7665,3113.624,35.06333333,0,0,0
4310452,980.0201666,799.444,815.2225,0,0,0,2289.635667,8683.434497,22047.824,0,0,0,0,0,0,312.9402501,0,604.8425,0,0,740.7129167,0,0,569.7791667,955.4758333,2166.914,0,0,3394.130667,0,568.026,0,3120.636667,0,0,224.4053333,50.84183333,0,0,0,0,0,864.3111666,0,0,0,0,69359.65625,93.79441667,0,0,0,0,0
974121,0,0,0,0,2500.015667,0,1717.22675,0,0,233.1711667,0,0,0,0,133.2406667,0,1202.672333,157.785,0,525.95,0,3418.675,0,512.80125,286.64275,722.3046666,468.9720834,32109.2475,0,0,189.342,2669.19625,0,0,298.0383333,0,0,166329.0578,2260.708417,2737.56975,1663.755167,725.811,0,134.11725,0,0,0,0,93.79441667,589.064,105.19,1214.9445,0,4378.53375
574655,0,0,0,0,22500.141,11092.2855,0,2894.478166,0,8860.504335,0,0,0,0,6062.450333,0,2405.344667,0,0,105.19,0,1840.825,0,0,0,0,187.5888333,32109.2475,0,0,0,0,0,0,0,112.2026667,0,0,0,0,0,725.811,0,0,468.9720833,2642.89875,0,0,93.79441667,757.368,35.06333333,0,2458.81625,0
988314,339.23775,84.152,0,0,0,0,3434.4535,0,0,0,0,0,0,0,0,0,0,78.8925,774.8996667,1051.9,1766.315417,0,0,1139.558333,191.0951667,1444.609333,0,64218.495,0,202.49075,0,0,312.0636667,0,0,0,101.6836667,0,9042.833668,0,14973.7965,0,0,0,0,880.96625,0,0,0,757.368,105.19,0,0,0
426919,1545.416417,1051.9,210.38,0,47500.29767,0,0,2894.478166,13090.8955,0,0,0,0,0,0,0,0,0,0,0,0,4207.6,0,455.8233334,955.4758333,0,0,29190.225,0,0,441.798,838.89025,78.01591667,0,0,0,203.3673333,0,4521.416834,0,0,0,0,44.70575,468.9720833,0,0,0,187.5888333,0,0,0,0,0
667570,0,0,0,0,2500.015667,0,0,0,0,0,0,197.23125,0,0,0,0,15033.40417,0,953.7226667,0,56.97791667,0,229.6648333,227.9116667,0,3611.523333,375.1776667,14595.1125,0,28.92725,0,305.051,1638.33425,0,1192.153333,0,0,1911.82825,0,6996.011584,1663.755167,15967.842,0,0,0,0,0,0,0,0,0,520.6905,0,0
1051517,0,0,0,42692.23809,0,9340.872,0,0,0,0,0,0,5596.108,0,0,0,7216.034,131.4875,0,315.57,0,0,1607.653833,0,382.1903333,1805.761667,93.79441667,0,0,0,0,1448.99225,156.0318333,0,894.1149999,56.10133333,101.6836667,0,0,2129.220917,0,9435.543,0,0,0,0,0,0,0,0,35.06333333,0,19670.53,0
590527,904.6339999,3576.46,394.4625,0,32500.20367,0,0,2337.847749,29971.26075,0,749.47875,986.15625,0,694.254,0,0,0,78.8925,238.4306667,0,0,3155.7,0,569.7791667,382.1903333,3972.675666,0,0,2468.458667,0,504.912,0,702.14325,291.90225,0,224.4053333,254.2091667,0,4521.416834,0,16637.55167,0,0,0,3282.804583,0,0,163688.7888,187.5888333,0,70.12666666,0,0,0
4295826,1055.406333,462.836,315.57,0,0,0,5724.089167,11021.28225,17913.857,0,2398.332,7494.7875,0,0,0,298.0383334,0,78.8925,1192.153333,0,2450.050417,788.925,0,1196.53625,1433.21375,0,0,0,771.3933335,0,820.482,0,312.0636667,291.90225,0,336.608,50.84183333,0,2260.708417,0,6655.020668,0,0,44.70575,0,0,1038.75125,241371.6038,0,0,0,0,0,0
153978,0,0,0,0,2500.015667,0,11448.17833,0,0,0,0,0,0,0,0,74.50958335,0,499.6525,2563.129667,315.57,626.7570834,4470.575,0,569.7791667,1051.023417,17696.46433,93.79441667,5838.045,4936.917334,3731.61525,63.114,152.5255,2808.573,0,0,3197.776,4270.714,0,63299.83568,0,126445.3927,725.811,0,4515.28075,10786.35792,8457.276,45705.055,52713.33875,7972.525417,7657.832,3962.156666,0,0,0
589597,0,0,0,0,35000.21934,583.8045,0,0,0,0,0,0,1748.78375,0,1332.406667,0,8418.706334,289.2725,0,0,512.80125,0,16995.19766,0,0,0,0,0,1234.229334,0,0,0,0,0,35764.6,0,203.3673333,179711.8555,2260.708417,40759.37184,3327.510334,19596.897,0,0,0,0,692.5008334,97103.51875,93.79441667,0,70.12666666,21348.3105,0,376553.9025
1646259,1620.802583,546.988,1235.9825,0,182501.1437,1751.4135,2289.635667,5232.325915,0,16088.8105,3397.637,16764.65625,0,867.8175,799.444,0,601.3361667,315.57,59.60766667,10624.19,341.8675,3681.65,0,2507.028333,1051.023417,11556.87467,11442.91883,0,4165.524001,144.63625,1388.508,610.102,468.0955,1070.30825,0,224.4053333,203.3673333,1911.82825,24867.79259,0,0,0,2056.4645,402.35175,6096.637083,13214.49375,2077.5025,0,1125.533,1009.824,455.8233333,0,0,0
245980,150.7723333,126.228,236.6775,0,10000.06267,583.8045,572.4089167,111.3260833,0,2331.711667,549.61775,2958.46875,0,47.3355,399.722,14.90191667,0,26.2975,0,1051.9,113.9558333,262.975,0,113.9558333,0,2166.914,937.9441667,2919.0225,0,0,883.596,76.26275,0,0,0,56.10133333,0,0,2260.708417,0,0,0,89.41149999,0,468.9720833,880.96625,346.2504167,0,0,0,0,0,0,0
467605,150.7723333,252.456,341.8675,0,20000.12534,583.8045,1717.22675,445.3043332,0,2331.711667,949.33975,4930.78125,0,236.6775,1065.925333,29.80383334,0,0,59.60766667,946.71,56.97791667,0,0,227.9116667,0,1444.609333,1406.91625,5838.045,0,0,631.14,457.5765,78.01591667,0,0,0,0,0,6782.125251,0,1663.755167,0,506.6651666,44.70575,1406.91625,3347.67175,346.2504167,8323.15875,0,84.152,70.12666666,0,0,0
1052264,339.23775,378.684,368.165,0,0,0,5151.68025,0,0,0,0,0,0,0,0,0,0,157.785,1192.153333,0,3076.8075,2629.75,0,56.97791667,191.0951667,722.3046666,0,11676.09,3394.130667,0,252.456,1067.6785,390.0795834,0,0,504.912,0,0,2260.708417,0,1663.755167,0,0,0,937.9441666,1057.1595,0,0,0,0,0,0,0,0
