,control.gypsum.dry.tp1,control.gypsum.dry.tp2,control.mdf.dry.tp1,control.plywood.dry.tp2,control.mdf.dry.tp3,control.mdf.dry.tp2,control.plywood.dry.tp1,control.plywood.dry.tp3,loc1.gypsum.dry.tp1,loc1.gypsum.dry.tp3,loc1.gypsum.dry.tp2,loc1.mdf.dry.tp1,loc1.plywood.dry.tp2,loc1.mdf.dry.tp3,loc1.mdf.dry.tp2,loc1.plywood.dry.tp1,loc1.plywood.dry.tp3,loc2.gypsum.dry.tp1,loc2.gypsum.dry.tp2,loc2.mdf.dry.tp1,loc2.plywood.dry.tp2,loc2.mdf.dry.tp3,loc2.mdf.dry.tp2,loc2.plywood.dry.tp1,loc2.plywood.dry.tp3
769222,9130.492,990006.2041,14138.41258,0,121948.5202,115774.7438,3644.8335,21052.02533,5901.159,58485.64,4470.575,2866.4275,145183.238,64436.76425,7559.654668,29221.782,7550.01225,762.6275,14973.7965,1475.28975,49711.04083,54443.71425,7963.759584,2344.860417,6143.096
1101451,0,0,0,0,0,0,0,2265.091333,238.4306667,0,2629.75,95.54758333,1444.609333,187.5888333,154.2786667,252.456,1067.6785,355.8928333,11646.28617,134.11725,1875.888333,0,346.2504167,281.38325,1262.28
556428,294.532,22500.141,890.6086664,0,7461.477334,2958.46875,0,3131.155667,0,631.14,6311.4,286.64275,0,187.5888333,1697.065334,441.798,915.153,0,1663.755167,0,3751.776666,0,0,0,84.152
590579,2145.876,27500.17234,0,12401.901,0,2958.46875,0,0,0,0,6311.4,0,3972.675666,0,3394.130667,63.114,0,0,0,0,3282.804583,0,0,0,0
922761,336.608,82500.51701,0,8956.9285,0,0,0,1065.925333,178.823,0,2892.725,573.2855,5056.132666,375.1776667,1388.508,252.456,1830.306,457.5765,16637.55167,89.4115,937.9441666,0,1731.252084,187.5888333,757.368
1084865,0,0,0,0,0,0,0,0,3338.029334,1157.09,4470.575,6401.688083,6500.741999,562.7665,1234.229334,1325.394,533.83925,0,6655.020668,0,0,176.19325,0,562.7665,3113.624
4310452,799.444,0,8683.434497,22047.824,0,0,0,0,0,0,0,955.4758333,2166.914,0,3394.130667,568.026,0,50.84183333,0,0,0,0,0,93.79441667,0
974121,0,2500.015667,0,0,233.1711667,0,0,133.2406667,0,525.95,3418.675,286.64275,722.3046666,468.9720834,0,189.342,2669.19625,0,1663.755167,134.11725,0,0,0,93.79441667,589.064
574655,0,22500.141,2894.478166,0,8860.504335,0,0,6062.450333,0,105.19,1840.825,0,0,187.5888333,0,0,0,0,0,0,468.9720833,2642.89875,0,93.79441667,757.368
988314,84.152,0,0,0,0,0,0,0,774.8996667,1051.9,0,191.0951667,1444.609333,0,0,0,0,101.6836667,14973.7965,0,0,880.96625,0,0,757.368
426919,1051.9,47500.29767,2894.478166,13090.8955,0,0,0,0,0,0,4207.6,955.4758333,0,0,0,441.798,838.89025,203.3673333,0,44.70575,468.9720833,0,0,187.5888333,0
667570,0,2500.015667,0,0,0,197.23125,0,0,953.7226667,0,0,0,3611.523333,375.1776667,0,0,305.051,0,1663.755167,0,0,0,0,0,0
1051517,0,0,0,0,0,0,0,0,0,315.57,0,382.1903333,1805.761667,93.79441667,0,0,1448.99225,101.6836667,0,0,0,0,0,0,0
590527,3576.46,32500.20367,2337.847749,29971.26075,0,986.15625,694.254,0,238.4306667,0,3155.7,382.1903333,3972.675666,0,2468.458667,504.912,0,254.2091667,16637.55167,0,3282.804583,0,0,187.5888333,0
4295826,462.836,0,11021.28225,17913.857,0,7494.7875,0,0,1192.153333,0,788.925,1433.21375,0,0,771.3933335,820.482,0,50.84183333,6655.020668,44.70575,0,0,1038.75125,0,0
153978,0,2500.015667,0,0,0,0,0,0,2563.129667,315.57,4470.575,1051.023417,17696.46433,93.79441667,4936.917334,63.114,152.5255,4270.714,126445.3927,4515.28075,10786.35792,8457.276,45705.055,7972.525417,7657.832
589597,0,35000.21934,0,0,0,0,0,1332.406667,0,0,0,0,0,0,1234.229334,0,0,203.3673333,3327.510334,0,0,0,692.5008334,93.79441667,0
1646259,546.988,182501.1437,5232.325915,0,16088.8105,16764.65625,867.8175,799.444,59.60766667,10624.19,3681.65,1051.023417,11556.87467,11442.91883,4165.524001,1388.508,610.102,203.3673333,0,402.35175,6096.637083,13214.49375,2077.5025,1125.533,1009.824
245980,126.228,10000.06267,111.3260833,0,2331.711667,2958.46875,47.3355,399.722,0,1051.9,262.975,0,2166.914,937.9441667,0,883.596,76.26275,0,0,0,468.9720833,880.96625,346.2504167,0,0
467605,252.456,20000.12534,445.3043332,0,2331.711667,4930.78125,236.6775,1065.925333,59.60766667,946.71,0,0,1444.609333,1406.91625,0,631.14,457.5765,0,1663.755167,44.70575,1406.91625,3347.67175,346.2504167,0,84.152
1052264,378.684,0,0,0,0,0,0,0,1192.153333,0,2629.75,191.0951667,722.3046666,0,3394.130667,252.456,1067.6785,0,1663.755167,0,937.9441666,1057.1595,0,0,0
3464844,0,0,0,0,0,0,0,0,59.60766667,0,262.975,0,1805.761667,0,617.1146668,0,76.26275,305.051,14973.7965,1743.52425,7503.553333,2290.51225,7963.759584,1875.888333,0
1011712,0,0,0,0,0,0,0,0,238.4306667,841.52,5522.475,0,5417.285,0,2159.901334,252.456,686.36475,101.6836667,0,0,0,0,0,0,0
814277,0,0,0,0,0,0,0,0,0,0,525.95,95.54758333,0,0,0,252.456,0,864.3111666,13310.04134,312.94025,8910.469583,0,1385.001667,375.1776667,1093.976
1114878,673.216,35000.21934,0,13779.89,0,0,284.013,0,0,0,0,955.4758333,2889.218666,0,1851.344,0,0,152.5255,0,0,0,0,0,0,0
1111294,0,15000.094,1113.260833,0,1399.027,2958.46875,1104.495,0,894.1150001,1683.04,4207.6,1624.308917,2166.914,562.7665,617.1146668,820.482,762.6275,355.8928333,8318.775835,44.70575,5158.692916,2114.319,346.2504167,0,1093.976
1002005,294.532,0,0,0,0,0,0,0,298.0383334,0,525.95,382.1903333,1444.609333,0,771.3933335,189.342,610.102,559.2601666,8318.775835,178.823,1406.91625,0,3462.504167,93.79441667,1598.888
1048878,336.608,7500.047001,2783.152083,344.49725,0,197.23125,189.342,2864.674333,417.2536667,0,0,0,722.3046666,93.79441667,771.3933335,126.228,457.5765,0,0,0,2344.860417,0,0,0,0
1078248,0,80000.50134,0,0,0,0,0,0,417.2536667,105.19,4207.6,0,361.1523333,1500.710667,0,0,762.6275,0,8318.775835,0,0,0,0,0,0
