,control.gypsum.dry.tp0,control.gypsum.dry.tp1,control.gypsum.wet.tp0,control.gypsum.wet.tp1,control.gypsum.dry.tp2,control.gypsum.wet.tp3,loc1.plywood.wet.tp0,control.mdf.dry.tp1,control.plywood.dry.tp2,control.mdf.dry.tp3,control.mdf.dry.tp0,control.mdf.dry.tp2,loc1.gypsum.wet.tp2,control.plywood.dry.tp1,control.plywood.dry.tp3,control.plywood.dry.tp0,control.plywood.wet.tp3,loc1.gypsum.dry.tp0,loc1.gypsum.dry.tp1,loc1.gypsum.dry.tp3,loc1.gypsum.wet.tp0,loc1.gypsum.dry.tp2,loc1.gypsum.wet.tp3,loc1.mdf.dry.tp0,loc1.mdf.dry.tp1,loc1.plywood.dry.tp2,loc1.mdf.dry.tp3,loc1.mdf.wet.tp0,loc1.mdf.dry.tp2,loc2.plywood.wet.tp0,loc1.plywood.dry.tp1,loc1.plywood.dry.tp3,loc1.plywood.dry.tp0,loc1.plywood.wet.tp1,loc2.gypsum.wet.tp2,loc2.gypsum.dry.tp0,loc2.gypsum.dry.tp1,loc2.plywood.wet.tp2,loc2.gypsum.wet.tp0,loc2.gypsum.wet.tp1,loc2.gypsum.dry.tp2,loc2.gypsum.wet.tp3,control.mdf.wet.tp0,loc2.mdf.dry.tp1,loc2.plywood.dry.tp2,loc2.mdf.dry.tp3,loc2.mdf.dry.tp2,control.plywood.wet.tp0,loc2.plywood.dry.tp1,loc2.plywood.dry.tp3,loc2.plywood.dry.tp0,loc2.plywood.wet.tp1,control.gypsum.wet.tp2,loc2.plywood.wet.tp3
769222,252,217,616,0,396,19,38,127,0,523,523,587,2,231,316,56,1,25,99,556,72,17,0,200,30,402,687,70,49,22,463,99,32,29,0,33,15,3,48,1,9,0,273,33,106,309,23,151,25,73,24,0,0,0
1101451,0,0,0,0,0,0,20,0,0,0,0,0,0,0,34,34,0,11,4,0,6,10,0,15,1,4,2,13,1,2,4,14,3,0,0,6,7,0,5,0,7,0,0,3,4,0,1,7,3,15,5,0,0,0
556428,20,7,9,0,9,1,0,8,0,32,39,15,1,0,47,16,0,0,0,6,0,24,0,0,3,0,2,0,11,0,7,12,9,0,0,0,0,0,1,0,1,0,0,0,8,0,0,7,0,1,5,0,0,0
590579,21,51,31,0,11,0,2,0,36,0,0,15,0,0,0,0,0,6,0,0,18,24,0,0,0,11,0,11,22,1,1,0,0,3,0,3,0,0,0,0,0,0,0,0,7,0,0,38,0,0,0,0,0,0
922761,0,8,2,0,33,0,37,0,26,0,0,0,2,0,16,16,81,19,3,0,18,11,443,6,6,14,4,54,9,3,4,24,7,1,122,2,9,434,5,153,10,83,1,2,2,0,5,0,2,9,1,639,0,77
1084865,0,0,0,0,0,0,51,0,0,0,10,0,0,0,0,0,0,48,56,11,20,17,0,44,67,18,6,29,8,2,21,7,47,0,0,0,0,0,9,0,4,0,4,0,0,1,0,0,6,37,1,0,0,0
4310452,26,19,31,0,0,0,4,78,64,0,0,0,0,0,0,21,0,23,0,0,13,0,0,10,10,6,0,0,22,0,9,0,40,0,0,4,1,0,0,0,0,0,29,0,0,0,0,25,1,0,0,0,0,0
974121,0,0,0,0,1,0,3,0,0,1,0,0,0,0,2,0,2,6,0,5,0,13,0,9,3,2,5,11,0,0,3,35,0,0,1,0,0,87,1,9,1,1,0,3,0,0,0,0,1,7,3,7,0,9
574655,0,0,0,0,9,19,0,26,0,38,0,0,0,0,91,0,4,0,0,1,0,7,0,0,0,0,2,11,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,15,0,0,1,9,1,0,5,0
988314,9,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,13,10,31,0,0,20,2,4,0,22,0,7,0,0,4,0,0,0,2,0,4,0,9,0,0,0,0,5,0,0,0,9,3,0,0,0
426919,41,25,8,0,19,0,0,26,38,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8,10,0,0,10,0,0,7,11,1,0,0,0,4,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0
667570,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,25,0,16,0,1,0,1,4,0,10,4,5,0,1,0,4,21,0,4,0,0,1,0,23,1,22,0,0,0,0,0,0,0,0,0,3,0,0
