,control.gypsum.dry.tp1,control.gypsum.dry.tp2,control.mdf.dry.tp1,control.plywood.dry.tp2,control.mdf.dry.tp3,control.mdf.dry.tp2,control.plywood.dry.tp1,control.plywood.dry.tp3,loc1.gypsum.dry.tp1,loc1.gypsum.dry.tp3,loc1.gypsum.dry.tp2,loc1.mdf.dry.tp1,loc1.plywood.dry.tp2,loc1.mdf.dry.tp3,loc1.mdf.dry.tp2,loc1.plywood.dry.tp1,loc1.plywood.dry.tp3,loc2.gypsum.dry.tp1,loc2.gypsum.dry.tp2,loc2.mdf.dry.tp1,loc2.plywood.dry.tp2,loc2.mdf.dry.tp3,loc2.mdf.dry.tp2,loc2.plywood.dry.tp1,loc2.plywood.dry.tp3
769222,217,396,127,0,523,587,231,316,99,556,17,30,402,687,49,463,99,15,9,33,106,309,23,25,73
1101451,0,0,0,0,0,0,0,34,4,0,10,1,4,2,1,4,14,7,7,3,4,0,1,3,15
556428,7,9,8,0,32,15,0,47,0,6,24,3,0,2,11,7,12,0,1,0,8,0,0,0,1
590579,51,11,0,36,0,15,0,0,0,0,24,0,11,0,22,1,0,0,0,0,7,0,0,0,0
922761,8,33,0,26,0,0,0,16,3,0,11,6,14,4,9,4,24,9,10,2,2,0,5,2,9
1084865,0,0,0,0,0,0,0,0,56,11,17,67,18,6,8,21,7,0,4,0,0,1,0,6,37
4310452,19,0,78,64,0,0,0,0,0,0,0,10,6,0,22,9,0,1,0,0,0,0,0,1,0
974121,0,1,0,0,1,0,0,2,0,5,13,3,2,5,0,3,35,0,1,3,0,0,0,1,7
574655,0,9,26,0,38,0,0,91,0,1,7,0,0,2,0,0,0,0,0,0,1,15,0,1,9
988314,2,0,0,0,0,0,0,0,13,10,0,2,4,0,0,0,0,2,9,0,0,5,0,0,9
426919,25,19,26,38,0,0,0,0,0,0,16,10,0,0,0,7,11,4,0,1,1,0,0,2,0
667570,0,1,0,0,0,1,0,0,16,0,0,0,10,4,0,0,4,0,1,0,0,0,0,0,0
1051517,0,0,0,0,0,0,0,0,0,3,0,4,5,1,0,0,19,2,0,0,0,0,0,0,0
590527,85,13,21,87,0,5,44,0,4,0,12,4,11,0,16,8,0,5,10,0,7,0,0,2,0
4295826,11,0,99,52,0,38,0,0,20,0,3,15,0,0,5,13,0,1,4,1,0,0,3,0,0
153978,0,1,0,0,0,0,0,0,43,3,17,11,49,1,32,1,2,84,76,101,23,48,132,85,91
589597,0,14,0,0,0,0,0,20,0,0,0,0,0,0,8,0,0,4,2,0,0,0,2,1,0
1646259,13,73,47,0,69,85,55,12,1,101,14,11,32,122,27,22,8,4,0,9,13,75,6,12,12
245980,3,4,1,0,10,15,3,6,0,10,1,0,6,10,0,14,1,0,0,0,1,5,1,0,0
467605,6,8,4,0,10,25,15,16,1,9,0,0,4,15,0,10,6,0,1,1,3,19,1,0,1
1052264,9,0,0,0,0,0,0,0,20,0,10,2,2,0,22,4,14,0,1,0,2,6,0,0,0
3464844,0,0,0,0,0,0,0,0,1,0,1,0,5,0,4,0,1,6,9,39,16,13,23,20,0
1011712,0,0,0,0,0,0,0,0,4,8,21,0,15,0,14,4,9,2,0,0,0,0,0,0,0
814277,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,17,8,7,19,0,4,4,13
1114878,16,14,0,40,0,0,18,0,0,0,0,10,8,0,12,0,0,3,0,0,0,0,0,0,0
1111294,0,6,10,0,6,15,70,0,15,16,16,17,6,6,4,13,10,7,5,1,11,12,1,0,13
1002005,7,0,0,0,0,0,0,0,5,0,2,4,4,0,5,3,8,11,5,4,3,0,10,1,19
1048878,8,3,25,1,0,1,12,43,7,0,0,0,2,1,5,2,6,0,0,0,5,0,0,0,0
1078248,0,32,0,0,0,0,0,0,7,1,16,0,1,16,0,0,10,0,5,0,0,0,0,0,0
1088305,0,0,8,0,0,0,0,0,12,0,21,0,9,0,1,4,7,0,0,0,0,0,0,0,0
984831,0,0,0,0,0,0,3,0,65,15,31,16,12,11,10,2,33,0,0,0,0,0,0,0,0
2979800,0,10,30,58,0,5,0,0,0,0,28,14,18,0,12,17,0,1,2,1,5,0,1,0,0
941487,0,0,0,0,0,0,0,0,5,0,0,0,0,0,17,5,4,3,6,1,8,2,0,2,2
1787644,0,0,0,0,0,0,0,0,0,0,32,65,14,13,217,0,93,278,365,565,285,331,525,492,24
