,control.gypsum.wet.tp1,control.gypsum.wet.tp3,loc1.gypsum.wet.tp2,control.plywood.wet.tp3,loc1.gypsum.wet.tp3,loc1.plywood.wet.tp1,loc2.gypsum.wet.tp2,loc2.plywood.wet.tp2,loc2.gypsum.wet.tp1,loc2.gypsum.wet.tp3,loc2.plywood.wet.tp1,control.gypsum.wet.tp2,loc2.plywood.wet.tp3
769222,0,19,2,1,0,29,0,3,1,0,0,0,0
1101451,0,0,0,0,0,0,0,0,0,0,0,0,0
556428,0,1,1,0,0,0,0,0,0,0,0,0,0
590579,0,0,0,0,0,3,0,0,0,0,0,0,0
922761,0,0,2,81,443,1,122,434,153,83,639,0,77
1084865,0,0,0,0,0,0,0,0,0,0,0,0,0
4310452,0,0,0,0,0,0,0,0,0,0,0,0,0
974121,0,0,0,2,0,0,1,87,9,1,7,0,9
574655,0,19,0,4,0,0,0,0,0,1,0,5,0
988314,0,0,0,0,0,0,0,0,0,0,0,0,0
426919,0,0,0,0,0,0,0,0,0,0,0,0,0
667570,0,0,0,25,1,0,4,1,23,22,3,0,0
1051517,113,16,16,12,7,0,3,0,7,13,0,40,0
590527,0,0,0,0,0,3,0,0,0,0,0,0,0
4295826,0,0,0,0,0,3,0,0,0,0,0,0,0
153978,0,0,0,0,0,0,0,0,0,1,0,0,0
589597,0,1,5,14,74,0,120,94,134,27,123,0,774
1646259,0,3,0,1,0,11,0,1,0,0,0,0,0
245980,0,1,0,0,0,0,0,0,0,0,0,0,0
467605,0,1,0,0,0,0,0,0,0,0,0,0,0
1052264,0,0,0,0,0,0,0,0,0,0,0,0,0
3464844,0,0,0,0,0,0,0,0,0,0,0,0,0
1011712,0,0,0,0,0,0,0,0,0,0,0,0,0
814277,0,0,0,0,0,0,0,0,0,0,0,0,0
1114878,0,0,0,0,0,0,0,0,0,0,0,0,0
1111294,0,0,0,3,0,0,0,0,1,0,0,0,0
1002005,0,0,0,0,0,0,0,0,0,0,0,0,0
1048878,0,0,0,1,0,0,0,0,0,0,0,0,0
1078248,543,421,386,64,94,0,54,0,38,40,0,566,0
1088305,0,0,0,0,0,0,0,0,0,0,0,0,0
984831,0,0,0,0,0,0,0,0,0,0,0,0,0
2979800,0,0,0,0,0,1,0,0,0,0,0,1,0
941487,0,0,0,20,0,0,22,10,3,20,8,0,9
1787644,0,0,0,0,0,0,0,0,0,0,0,0,0
