SampleID	bacteria_count	time_point	location	condition	material	Description
cgd0	37693.08	0	control	dry	gypsum	control.gypsum.dry.tp0
cgd1	42076	1	control	dry	gypsum	control.gypsum.dry.tp1
cgw0	26297.5	0	control	wet	gypsum	control.gypsum.wet.tp0
cgw1	377807.42	1	control	wet	gypsum	control.gypsum.wet.tp1
cgd2	2500015.67	2	control	dry	gypsum	control.gypsum.dry.tp2
cgw3	583804.5	3	control	wet	gypsum	control.gypsum.wet.tp3
l1pw0	572408.92	0	1	wet	plywood	loc1.plywood.wet.tp0
cmd1	111326.08	1	control	dry	mdf	control.mdf.dry.tp1
cpd2	344497.25	2	control	dry	plywood	control.plywood.dry.tp2
cmd3	233171.17	3	control	dry	mdf	control.mdf.dry.tp3
cmd0	49965.25	0	control	dry	mdf	control.mdf.dry.tp0
cmd2	197231.25	2	control	dry	mdf	control.mdf.dry.tp2
l1gw2	349756.75	2	1	wet	gypsum	loc1.gypsum.wet.tp2
cpd1	15778.5	1	control	dry	plywood	control.plywood.dry.tp1
cpd3	66620.33	3	control	dry	plywood	control.plywood.dry.tp3
cpd0	14901.92	0	control	dry	plywood	control.plywood.dry.tp0
cpw3	601336.17	3	control	wet	plywood	control.plywood.wet.tp3
l1gd0	26297.5	0	1	dry	gypsum	loc1.gypsum.dry.tp0
l1gd1	59607.67	1	1	dry	gypsum	loc1.gypsum.dry.tp1
l1gd3	105190	3	1	dry	gypsum	loc1.gypsum.dry.tp3
l1gw0	56977.92	0	1	wet	gypsum	loc1.gypsum.wet.tp0
l1gd2	262975	2	1	dry	gypsum	loc1.gypsum.dry.tp2
l1gw3	229664.83	3	1	wet	gypsum	loc1.gypsum.wet.tp3
l1md0	56977.92	0	1	dry	mdf	loc1.mdf.dry.tp0
l1md1	95547.58	1	1	dry	mdf	loc1.mdf.dry.tp1
l1pd2	361152.33	2	1	dry	plywood	loc1.plywood.dry.tp2
l1md3	93794.42	3	1	dry	mdf	loc1.mdf.dry.tp3
l1mw0	2919022.5	0	1	wet	mdf	loc1.mdf.wet.tp0
l1md2	154278.67	2	1	dry	mdf	loc1.mdf.dry.tp2
l2pw0	28927.25	0	2	wet	plywood	loc2.plywood.wet.tp0
l1pd1	63114	1	1	dry	plywood	loc1.plywood.dry.tp1
l1pd3	76262.75	3	1	dry	plywood	loc1.plywood.dry.tp3
l1pd0	78015.92	0	1	dry	plywood	loc1.plywood.dry.tp0
l1pw1	97300.75	1	1	wet	plywood	loc1.plywood.wet.tp1
l2gw2	298038.33	2	2	wet	gypsum	loc2.gypsum.wet.tp2
l2gd0	56101.33	0	2	dry	gypsum	loc2.gypsum.dry.tp0
l2gd1	50841.83	1	2	dry	gypsum	loc2.gypsum.dry.tp1
l2pw2	1911828.25	2	2	wet	plywood	loc2.plywood.wet.tp2
l2gw0	2260708.42	0	2	wet	gypsum	loc2.gypsum.wet.tp0
l2gw1	304174.42	1	2	wet	gypsum	loc2.gypsum.wet.tp1
l2gd2	1663755.17	2	2	dry	gypsum	loc2.gypsum.dry.tp2
l2gw3	725811	3	2	wet	gypsum	loc2.gypsum.wet.tp3
cmw0	29803.83	0	control	wet	mdf	control.mdf.wet.tp0
l2md1	44705.75	1	2	dry	mdf	loc2.mdf.dry.tp1
l2pd2	468972.08	2	2	dry	plywood	loc2.plywood.dry.tp2
l2md3	176193.25	3	2	dry	mdf	loc2.mdf.dry.tp3
l2md2	346250.42	2	2	dry	mdf	loc2.mdf.dry.tp2
cpw0	2774386.25	0	control	wet	plywood	control.plywood.wet.tp0
l2pd1	93794.42	1	2	dry	plywood	loc2.plywood.dry.tp1
l2pd3	84152	3	2	dry	plywood	loc2.plywood.dry.tp3
l2pd0	35063.33	0	2	dry	plywood	loc2.plywood.dry.tp0
l2pw1	173563.5	1	2	wet	plywood	loc2.plywood.wet.tp1
cgw2	491763.25	2	control	wet	gypsum	control.gypsum.wet.tp2
l2pw3	486503.75	3	2	wet	plywood	loc2.plywood.wet.tp3
