OUT_ID	kingdom	phylum	class	order	family	genus	species
4479944	k__Bacteria	p__Actinobacteria	c__MB-A2-108	0319-7L14			
1050608	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	
4307316	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	Bacteroidales			
141700	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Ralstonia	
185100	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae		
114072	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus	
590450	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Clostridiaceae	Clostridium	
253429	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	
1124709	k__Bacteria	p__Bacteroidetes	c__Cytophagia	Cytophagales	Cytophagaceae	Rhodocytophaga	
1081058	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
1033426	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	
817013	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinomadura	vinacea
4470542	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	
580916	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae		
339886	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales			
3482976	k__Bacteria	p__Acidobacteria	c__iii1-8	DS-18			
900044	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Nocardioidaceae		
3482979	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Bacillaceae		
1093417	k__Bacteria	p__Bacteroidetes	c__[Rhodothermi]	Rhodothermales	Rhodothermaceae	Rubricoccus	
2397581	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rickettsiales	mitochondria		
4454531	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae		
635511	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	
505587	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Tissierellaceae	Finegoldia	
165827	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	
576641	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Bacillaceae	Bacillus	
4335435	k__Bacteria	p__Gemmatimonadetes	c__Gemm-3				
392111	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Alkanindiges	
156986	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Xanthomonadales	Sinobacteraceae		
4440262	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	MND1			
546305	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes	
563240	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae		
166739	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
114076	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	Saprospirales	Chitinophagaceae		
10708	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	
328081	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Nocardioidaceae		
4299150	k__Bacteria	p__Verrucomicrobia	c__Opitutae	Opitutales	Opitutaceae	Opitutus	
4414827	k__Bacteria	p__Bacteroidetes	c__Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter	
274011	k__Bacteria	p__[Thermi]	c__Deinococci	Deinococcales	Trueperaceae	Truepera	
334906	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinoallomurus	iriomotensis
432284	k__Bacteria	p__Cyanobacteria	c__Chloroplast	Streptophyta			
4429835	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	Solirubrobacterales			
329688	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	stercoris
223441	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	Acidimicrobiales			
3518	k__Bacteria	p__Cyanobacteria	c__Chloroplast	Streptophyta			
1086889	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Tissierellaceae	WAL_1855D	
4358255	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	Myxococcales			
826541	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales			
1076969	k__Bacteria	p__Firmicutes	c__Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
558281	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Erwinia	dispersa
528829	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	Acidimicrobiales			
4329845	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Bacillaceae	Bacillus	foraminis
919487	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Nocardioidaceae		
554705	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
837574	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Aeromonadales	Aeromonadaceae		
112952	k__Bacteria	p__Chloroflexi	c__Ellin6529				
4477127	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	
694869	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	Burkholderiales	Comamonadaceae		
1035283	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	Bacteroidales			
841391	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	
589407	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	
709657	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
4256699	k__Bacteria	p__Bacteroidetes	c__Cytophagia	Cytophagales	Cytophagaceae	Adhaeribacter	
226780	k__Bacteria	p__Chloroflexi	c__Anaerolineae	GCA004			
256121	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
938794	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
300811	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	
156652	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
137867	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Sporolactobacillaceae	Sporolactobacillus	
137866	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	JG30-KF-CM45			
548683	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
370000	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	Methanomicrobiales			
1038732	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
27616	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales			
3850831	k__Bacteria	p__Planctomycetes	c__Planctomycetia	Pirellulales	Pirellulaceae		
789373	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	Acidimicrobiales			
352105	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria				
519510	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae		
525517	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	Bacteroidales	Porphyromonadaceae	Paludibacter	
525515	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Tissierellaceae	Peptoniphilus	
296086	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	Solirubrobacterales			
4323374	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	
552026	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	
537396	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Ruminococcaceae		
740305	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Planococcaceae	Rummeliibacillus	
1964005	k__Bacteria	p__Cyanobacteria	c__Chloroplast	Streptophyta			
361839	k__Bacteria	p__Cyanobacteria	c__Chloroplast	Stramenopiles			
180752	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Intrasporangiaceae		
886061	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	wittichii
712576	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	Synechococcales	Synechococcaceae	Synechococcus	
214791	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes	
546825	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Bacillaceae	Bacillus	
1068936	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	Acidimicrobiales			
558911	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Nocardioidaceae	Kribbella	
503236	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Tissierellaceae	Anaerococcus	
4410245	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rickettsiales	mitochondria		
3330580	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae		
666656	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	Bacteroidales			
4327501	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
925707	k__Bacteria	p__Firmicutes	c__Bacilli				
807443	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
4372550	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Bacillaceae	Bacillus	
4405640	k__Bacteria	p__Verrucomicrobia	c__[Pedosphaerae]	Pedosphaerales	Ellin517		
1041394	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
551647	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	Saprospirales	Chitinophagaceae		
539866	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae		
4359869	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Bacillaceae	Oceanobacillus	
4067355	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae		
1024520	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	
570486	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	
257863	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Clostridiaceae	Thermoanaerobacterium	saccharolyticum
578701	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus	
227000	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Lachnospiraceae	Shuttleworthia	
4327995	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	Saprospirales	Chitinophagaceae		
330905	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	PSB-M-3	
522984	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	
113142	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	Bacteroidales			
2680713	k__Bacteria	p__Cyanobacteria	c__Chloroplast	Streptophyta			
458474	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales			
810955	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	
810959	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Intrasporangiaceae	Phycicoccus	
343273	k__Bacteria	p__Firmicutes	c__Bacilli	Lactobacillales			
371783	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae		
4338598	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
4330365	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Bacillaceae	Bacillus	flexus
812809	k__Bacteria	p__Acidobacteria	c__Acidobacteria-5				
539390	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	
357342	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales			
70830	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales			
95168	k__Bacteria	p__Spirochaetes	c__Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	
495396	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Tissierellaceae	Anaerococcus	
734945	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	azotifigens
3466726	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales			
810371	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	WD2101			
899275	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	Bacteroidales			
540793	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae		
4309550	k__Bacteria	p__Firmicutes	c__Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sobrinus
137183	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Bifidobacteriales	Bifidobacteriaceae		
368486	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Eubacterium	dolichum
1128776	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes	
212027	k__Bacteria	p__Chloroflexi	c__Ellin6529				
584873	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	lautus
4416987	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales			
808758	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	
561452	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	Gaiellales	Gaiellaceae		
40556	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	multocida
822874	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	
202040	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	Syntrophobacterales	Syntrophaceae		
2148366	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	
369289	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Micromonosporaceae		
4477661	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Ruminococcaceae		
554916	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Bacillaceae	Bacillus	
756681	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	Acidimicrobiales			
577289	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Phyllobacterium	
3036442	k__Bacteria	p__Acidobacteria	c__Acidobacteria-6	iii1-15			
4243760	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	Solirubrobacterales			
585653	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	
4301566	k__Bacteria	p__Firmicutes	c__Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
503394	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Tissierellaceae	Anaerococcus	
439036	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	
89393	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	viridiflava
311035	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	Gaiellales	Gaiellaceae		
451696	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	
2397566	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rickettsiales	mitochondria		
91557	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Erwinia	
922724	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
322927	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
4290381	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae		
586356	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Tissierellaceae	Anaerovorax	
586350	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	Burkholderiales	Comamonadaceae		
512897	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	Saprospirales	Chitinophagaceae		
912669	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	Saprospirales	Chitinophagaceae		
1111496	k__Bacteria	p__Acidobacteria	c__DA052	Ellin6513			
591699	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	adhaesivum
4393102	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes				
827968	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Acidaminobacteraceae	Fusibacter	
149122	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	
1096028	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gillisia	
1117097	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhizobiales			
928406	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	stutzeri
837779	k__Bacteria	p__Firmicutes	c__Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus	
1667535	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Intrasporangiaceae		
1667532	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Intrasporangiaceae		
675357	k__Bacteria	p__Bacteroidetes	c__Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter	
