"","T1R7","T2R7","T2R9","T3R7","T3R9","T4R7","T4R9","T5R7","T5R9"
"SH1726759.08FU_AF444541_refs",1018.76923,0,0,0,0,0,0,0,0
"SH1715510.08FU_KU204769_reps",0,269.613495323835,314.363367831919,1052.3126167925,0,0,702.373115836243,0,0
"SH1676198.08FU_KF984792_refs",0,0,2.2060587216275,0,41.1031446656457,0,884.469849571565,0,20905.4131578947
"SH1694434.08FU_EU037063_reps",0,0,354.293030693377,0,335.675681436107,0,65.034547762615,0,0
"SH1692811.08FU_FJ430773_reps",0,6654.14946245958,2328.05376893351,83850.182601693,8432.99518056832,231093.208696399,2913.54773976515,223494.777187196,78300.2747368421
"SH1695393.08FU_U65307_reps",0,16886.2026046674,370.617865233421,302252.882977808,3062.18427759061,580828.584131954,897.476759124088,436293.89205636,12163.1494736842
"SH1679963.08FU_KX664387_reps",0,0,0,0,13.7010482218819,0,0,0,0
"SH1711465.08FU_AY554212_refs",0,0,0.441211744325501,0,0,0,0,0,0
"SH1685996.08FU_AJ292429_refs",0,0,11.9127170967885,239.161958361931,3665.03039935341,0,58283.9617048556,0,557604.383684211
"SH1729543.08FU_FR682361_reps",0,0,0,0,0,2526.9897069043,0,0,0
"SH1729549.08FU_MG920347_reps",0,0,0,0,0,0,52.027638210092,0,0
"SH1706045.08FU_GU054033_reps",0,0,1.3236352329765,0,404.180922545516,3537.78558966603,1183.62876927959,8913.05193169275,7221.87
"SH1744621.08FU_KC181928_reps",0,446.409229962416,258.991293919069,5979.04895904827,1315.30062930066,35377.8558966603,1014.53894509679,18494.5827582625,10642.7557894737
"SH1744611.08FU_EF679363_refs",0,413.260029717682,374.809376804513,4352.74764218714,2260.67295661052,15667.3361828067,2926.55464931768,15375.01458217,34969.0547368421
"SH1670916.08FU_AY943061_refs",0,0,4.19151157109226,0,61.6547169984686,0,91.0483668676611,0,6081.57473684211
"SH1687332.08FU_KM277974_reps",0,35.3591469277161,0,2917.77589201556,0,4422.23198708253,0,668.478894876956,0
"SH1712306.08FU_GU237794_refs",0,0,112.950206547328,0,8275.43312601668,0,5866.11620818788,0,83241.5542105263
"SH1664258.08FU_LN808981_reps",0,79.5580805873612,116.921112246258,1147.97740013727,404.180922545516,0,1352.71859346239,0,65376.9284210526
"SH1688430.08FU_KC584249_refs",0,33.1492002447339,0,4831.07155891101,0,7707.31860605813,0,12478.2727043698,0
"SH1688498.08FU_KJ650604_reps",0,0,0,0,13.7010482218819,0,0,0,0
"SH1688806.08FU_KY788106_reps",0,0,0,0,54.8041928875276,0,130.06909552523,891.305193169275,0
"SH1800509.08FU_HM365253_refs",0,106.077440783148,13.8981699462533,453594.570229238,2151.06457083546,2162471.44168336,5436.88819295462,2606399.21112525,458778.794210526
