"","T1R7","T2R7","T2R9","T3R7","T3R9","T4R7","T4R9","T5R7","T5R9"
"SH1726759.08FU_AF444541_refs",100,0,0,0,0,0,0,0,0
"SH1715510.08FU_KU204769_reps",0,1.06634035486409,6.3296761870919,0.100663463738275,0,0,0.571247223103777,0,0
"SH1676198.08FU_KF984792_refs",0,0,0.0444187802602941,0,0.102092904543134,0,0.719348355019571,0,1.21627598407784
"SH1694434.08FU_EU037063_reps",0,0,7.13365610980322,0,0.833758720435596,0,0.0528932613984978,0,0
"SH1692811.08FU_FJ430773_reps",0,26.3176295778341,46.8751388086883,8.02104781514528,20.946060915433,7.4765973102236,2.3696181106527,6.51256411921304,4.55550641309155
"SH1695393.08FU_U65307_reps",0,66.7861200943973,7.4623550837294,28.9132921528254,7.6059213884635,18.7916445243838,0.72992700729927,12.7134601649244,0.70765148164529
"SH1679963.08FU_KX664387_reps",0,0,0,0,0.0340309681810448,0,0,0,0
"SH1711465.08FU_AY554212_refs",0,0,0.00888375605205881,0,0,0,0,0,0
"SH1685996.08FU_AJ292429_refs",0,0,0.239861413405588,0.022878059940517,9.10328398842947,0,47.4029408653338,0,32.4413976116763
"SH1729543.08FU_FR682361_reps",0,0,0,0,0,0.0817561214895965,0,0,0
"SH1729549.08FU_MG920347_reps",0,0,0,0,0,0,0.0423146091187983,0,0
"SH1706045.08FU_GU054033_reps",0,0,0.0266512681561764,0,1.00391356134082,0.114458570085435,0.962657357452661,0.259723394584767,0.420168067226891
"SH1744621.08FU_KC181928_reps",0,1.76557993182414,5.21476480255852,0.571951498512926,3.2669729453803,1.14458570085435,0.825134877816566,0.538926043763392,0.619195046439629
"SH1744611.08FU_EF679363_refs",0,1.63447251114413,7.54675076622396,0.41638069091741,5.61510974987238,0.506887953235499,2.3801967629324,0.448022855658723,2.03449800973021
"SH1670916.08FU_AY943061_refs",0,0,0.0843956824945587,0,0.153139356814701,0,0.074050565957897,0,0.353825740822645
"SH1687332.08FU_KM277974_reps",0,0.139847915392011,0,0.279112331274308,0,0.143073212606794,0,0.0194792545938575,0
"SH1712306.08FU_GU237794_refs",0,0,2.27424154932706,0,20.554704781351,0,4.7709721781445,0,4.84298982750995
"SH1664258.08FU_LN808981_reps",0,0.314657809632025,2.35419535379558,0.109814687714482,1.00391356134082,0,1.10017983708875,0,3.80362671384343
"SH1688430.08FU_KC584249_refs",0,0.13110742068001,0,0.462136810798444,0,0.249356170543269,0,0.363612752418674,0
"SH1688498.08FU_KJ650604_reps",0,0,0,0,0.0340309681810448,0,0,0,0
"SH1688806.08FU_KY788106_reps",0,0,0,0,0.136123872724179,0,0.105786522796996,0.0259723394584767,0
"SH1800509.08FU_HM365253_refs",0,0.419543746176034,0.279838315639853,43.3905284831846,5.34286200442403,69.9628009647222,4.42187665291442,75.9496136614506,26.6917293233083
