"","T1R1","T1R4","T2R1","T2R4","T2R5","T3R1","T3R4","T3R5","T4R1","T4R4","T4R5","T5R1","T5R4","T5R5"
"SH1726759.08FU_AF444541_refs",0,0,0,0,0,0.0315870222462885,0,0.0147985911741202,0,0,0,0,0,0
"SH1725251.08FU_KJ706901_reps",0,0,0.111227427375033,0,0,0.527954514687965,0,0,0.217964896179878,0,0,0.145202274835639,0,0
"SH1674913.08FU_AJ244232_refs",0,0,0.320596702433918,0,0,0.126348088985154,0,0,0.025811632442354,0,0,0,0,0
"SH1676198.08FU_KF984792_refs",0,0,0,0,0.0357577057855968,0,0,0.0147985911741202,0,0.0304124691123361,0,0,0.059906328286679,0.0126374320738026
"SH1694434.08FU_EU037063_reps",0,0,0,0,0,0.00902486349893958,0,0,0.0143397958013078,0,0.00848872414476104,0,0,0
"SH1692811.08FU_FJ430773_reps",100,0,62.882753205967,43.1616923581502,57.4983909032396,50.629484229051,37.5676204132178,16.7579246455737,29.2789950671102,44.5580688082114,13.7262669420786,42.4676319929012,46.3348219148241,13.4367496524706
"SH1695393.08FU_U65307_reps",0,100,27.9507982203612,47.2417185962611,25.6740327540585,38.6489779342087,57.8309326728801,71.8057240950662,55.394631180452,49.4012545143509,82.521716985937,20.6630903884161,36.9894347021022,84.4054088209276
"SH1685996.08FU_AJ292429_refs",0,0,0,0,0,0,0,0,0.0143397958013078,0,0,0.0161335860928488,0,0
"SH1738712.08FU_MG372138_reps",0,0,0,5.01147917349951,2.81770721590503,0,2.88079254383106,0.381803652292302,0,0.539821326743965,2.71922130103845,0,0.326761790654613,0.625552887653229
"SH1744621.08FU_KC181928_reps",0,0,2.74142894530228,3.06985897015415,10.5842809125367,0.920536076891837,1.14058528319103,8.69861189214787,0.16634163129517,0.938984983843376,0.698904954585326,0.326705118380188,0.86047271539048,1.29217742954632
"SH1744611.08FU_EF679363_refs",0,0,0.438366919654541,0.249262053132174,0.579274833726668,0,0.123834973603598,1.00630419984018,0,0,0.135819586316177,0,0,0
"SH1664258.08FU_LN808981_reps",0,0,0.268254383669197,0,0.143030823142387,0,0,0.0295971823482404,0,0,0,0,0,0
"SH1688430.08FU_KC584249_refs",0,0,1.57681235278723,0.0787143325680551,0.185940070085103,0.194034565227201,0,0.121348447627786,0.0430193874039234,0,0,0,0,0
"SH1688498.08FU_KJ650604_reps",0,0,0.601936665794295,0,0,0.085736203239926,0,0,0,0,0,0.0161335860928488,0,0
"SH1688806.08FU_KY788106_reps",0,0,0.170112535985344,0,1.00121576199671,0.085736203239926,0,0.849439133394501,0.100378570609155,0.015206234556168,0.0481027701536459,0.0322671721856976,0,0.0284342221660559
"SH1800509.08FU_HM365253_refs",0,0,0.41873855011777,0.196785831420138,0,8.26226253327918,0.306328618914163,0.177583094089443,14.6208557990134,4.36038775898118,0.0877168161625308,36.1795668132134,15.2597756235704,0.129533678756477
